System,PRN,Epoch (UTC),Clock Bias (s),Clock Drift (s/s),Clock Drift Rate (s/s²),IODE,Crs (m),Δn (rad/s),M0 (rad),Cuc (rad),Eccentricity,Cus (rad),√A (m^0.5),toe (s),Cic (rad),Ω0 (rad),Cis (rad),i0 (rad),Crc (m),ω (rad),Ω̇ (rad/s),IDOT (rad/s),Codes L2,GPS Week,L2P flag,SV accuracy (m),SV health,TGD (s),IODC,toc (s),Fit interval (h)
G,22,2024-02-14 06:00:00,3.1519215554e-05,-6.25277607469e-12,0.0,8.0,74.71875,4.6937669428e-09,1.40857519889,3.76813113689e-06,0.0145253909286,6.30505383015e-06,5153.7126503,280800.0,2.58907675743e-07,1.89608385228,-2.77534127235e-07,0.961647483403,254.53125,-1.14322559955,-8.21641367518e-09,2.93583657509e-10,1.0,2301.0,0.0,2.4,0.0,-1.11758708954e-08,8.0,277806.0,4.0
G,17,2024-02-14 06:00:00,0.000717048998922,-1.25055521494e-12,0.0,18.0,-36.625,4.58911972669e-09,0.893717493892,-2.06381082535e-06,0.0135610725265,4.8354268074e-06,5153.66697693,280800.0,-1.15483999252e-07,2.91405901992,-1.95577740669e-07,0.970645188845,290.53125,-1.33706879161,-8.48999649958e-09,-2.55010622216e-10,1.0,2301.0,0.0,2.4,0.0,-1.11758708954e-08,18.0,278526.0,4.0
G,7,2024-02-14 08:00:00,-6.15930184722e-05,-9.09494701773e-12,0.0,83.0,6.8125,4.67983779117e-09,-0.9385058193,4.09781932831e-07,0.0179461159278,1.22655183077e-05,5153.67133522,288000.0,1.11758708954e-07,0.759054092621,3.68803739548e-07,0.950470903385,136.875,-2.15139877279,-8.21177062464e-09,-3.18941856637e-10,1.0,2301.0,0.0,2.4,0.0,-1.11758708954e-08,83.0,280806.0,4.0
G,8,2024-02-14 08:00:00,-0.000166962854564,-1.93267624127e-12,0.0,36.0,-31.4375,4.94056293713e-09,1.89308741131,-1.59442424774e-06,0.009341610712,4.49270009995e-06,5153.58776474,288000.0,-1.54599547386e-07,2.82093927368,1.32247805595e-07,0.954856901486,291.6875,0.319954693157,-8.56035657321e-09,-3.33942481473e-10,1.0,2301.0,0.0,2.4,0.0,5.12227416039e-09,36.0,280806.0,4.0
G,9,2024-02-14 08:00:00,9.1664493084e-05,1.26192389871e-11,0.0,81.0,-50.0625,4.9955652282e-09,2.34207150539,-2.47731804848e-06,0.00278036459349,5.81704080105e-06,5153.71782112,288000.0,6.51925802231e-08,-0.312719972236,0.0,0.958070070847,262.5625,2.01698299381,-8.33534720067e-09,-2.47867467532e-10,1.0,2301.0,0.0,2.4,0.0,1.39698386192e-09,81.0,280806.0,4.0
G,17,2024-02-14 08:00:00,0.000717040151358,-1.25055521494e-12,0.0,96.0,-36.9375,4.39375444608e-09,1.94382631546,-1.99675559998e-06,0.0135613550665,4.25428152084e-06,5153.6689682,288000.0,2.40281224251e-07,2.91399954353,-3.72529029846e-08,0.970644963556,298.21875,-1.33699379072,-8.10926635492e-09,-2.93940815243e-10,1.0,2301.0,0.0,2.4,0.0,-1.11758708954e-08,96.0,280806.0,4.0
G,21,2024-02-14 08:00:00,0.00013498775661,-1.36424205266e-12,0.0,55.0,-41.40625,4.24660545959e-09,1.84535472335,-2.00793147087e-06,0.0253024217673,1.04606151581e-05,5153.72818565,288000.0,2.79396772385e-07,-2.47335924806,2.30967998505e-07,0.962001301844,174.90625,-0.629022800547,-7.77175229611e-09,-3.97159400426e-10,1.0,2301.0,0.0,2.4,0.0,-1.02445483208e-08,55.0,280896.0,4.0
G,2,2024-02-14 08:00:00,-0.000485680066049,5.91171556152e-12,0.0,82.0,-50.5,4.11052836286e-09,2.22104156435,-2.59280204773e-06,0.0162041148869,1.06189399958e-05,5153.72033119,288000.0,2.44006514549e-07,-2.46678208687,-1.86264514923e-08,0.967722736416,174.0,-1.24173957386,-7.6881773863e-09,-2.2643800348e-10,1.0,2301.0,0.0,3.4,0.0,-1.76951289177e-08,82.0,280896.0,4.0
G,14,2024-02-14 08:00:00,0.000325343105942,1.00044417195e-11,0.0,232.0,92.71875,4.88234622646e-09,-1.63026806191,4.75905835629e-06,0.00398118013982,7.06501305103e-06,5153.68885803,288000.0,-5.02914190292e-08,1.83189702248,-1.13621354103e-07,0.946138516844,236.71875,-2.96578773299,-8.33749014707e-09,3.12155859687e-10,1.0,2301.0,0.0,2.4,0.0,-7.91624188423e-09,1000.0,280926.0,4.0
G,22,2024-02-14 08:00:00,3.14745120704e-05,-6.25277607469e-12,0.0,9.0,97.375,4.49768734673e-09,2.45853528119,5.02355396748e-06,0.0145239630947,6.56954944134e-06,5153.71857834,288000.0,1.56462192535e-07,1.89602673411,1.86264514923e-08,0.961649778722,249.03125,-1.14303019465,-7.99604735318e-09,1.60363822654e-10,1.0,2301.0,0.0,2.4,0.0,-1.11758708954e-08,9.0,280926.0,4.0
G,30,2024-02-14 08:00:00,-0.000432775821537,4.88853402203e-12,0.0,53.0,0.9375,4.90520432145e-09,-1.04836348715,-5.40167093277e-08,0.00679744698573,1.21258199215e-05,5153.69446945,288000.0,1.76951289177e-07,0.761194470508,-2.23517417908e-08,0.935604018886,129.625,-2.53337607376,-8.17284043161e-09,-2.74654297597e-10,1.0,2301.0,0.0,2.4,0.0,3.72529029846e-09,53.0,280956.0,4.0
G,4,2024-02-14 08:00:00,0.000291317235678,9.43600753089e-12,0.0,150.0,-53.5,4.86948854803e-09,1.63154235718,-2.61515378952e-06,0.00284103990998,6.56396150589e-06,5153.57922935,288000.0,2.98023223877e-08,-0.254008530281,7.82310962677e-08,0.964599437038,256.3125,-2.97599623721,-8.30320300459e-09,-3.11798701953e-10,1.0,2301.0,0.0,2.4,0.0,-4.65661287308e-09,406.0,281346.0,4.0
G,13,2024-02-14 08:00:00,0.000625394284725,3.52429196937e-12,0.0,76.0,-57.125,4.6655514818e-09,1.60045245581,-3.00258398056e-06,0.00779020856135,6.7763030529e-06,5153.65397072,288000.0,-1.95577740669e-07,-0.148426587226,0.0,0.971322888571,256.21875,0.939547557413,-8.20498462769e-09,-3.0215544313e-10,1.0,2301.0,0.0,2.4,0.0,-1.11758708954e-08,76.0,282036.0,4.0
G,9,2024-02-14 07:59:44,9.1664493084e-05,1.26192389871e-11,0.0,7.0,-50.0625,4.9955652282e-09,2.33974063362,-2.47731804848e-06,0.00278036354575,5.81704080105e-06,5153.7178154,287984.0,6.51925802231e-08,-0.312719844962,0.0,0.958070081087,262.5625,2.01698022744,-8.3357043584e-09,-2.47867467532e-10,1.0,2301.0,0.0,2.4,0.0,1.39698386192e-09,7.0,282486.0,4.0
